X,Y,TNT_NAME,activity_type,address,date_fixed,latitude,longitude,repair_type,truck_name,FID
-8479331.2097813,5315888.13770959,Southside,    Accessory On,185 ROBINEAU RD                                   ,2018/05/21 07:07:44+00,43.0257241028523,-76.1711282485821,STREET REPAIR,DP2             ,2866
-8475330.43084261,5322172.48152595,Northside,    Accessory On,400 HELEN ST & RUGBY RD                           ,2018/05/21 07:09:42+00,43.0669802118256,-76.135188639892,STREET REPAIR,DP1             ,2867
-8478092.22343783,5315715.81088598,Southside,    Accessory On,106 PARKWAY DR & ONONDAGA AVE                     ,2018/05/21 07:23:39+00,43.0245924030752,-76.1599982448906,STREET REPAIR,DP2             ,2868
-8478102.0195561,5315714.02931276,Southside,    Accessory On,106 PARKWAY DR & ONONDAGA AVE                     ,2018/05/21 07:24:28+00,43.0245807030697,-76.1600862449183,STREET REPAIR,DP2             ,2869
-8478186.3886252,5315707.51210506,Southside,    Accessory On,132 PARKWAY DR                                    ,2018/05/21 07:25:46+00,43.0245379030324,-76.1608441451611,STREET REPAIR,DP2             ,2870
-8478222.74558298,5315713.0395439,Southside,    Accessory On,142 PARKWAY DR                                    ,2018/05/21 07:26:38+00,43.0245742030265,-76.1611707452696,STREET REPAIR,DP2             ,2871
-8478220.84201917,5315715.01906904,Southside,    Accessory On,142 PARKWAY DR                                    ,2018/05/21 07:27:21+00,43.0245872030295,-76.161153645265,STREET REPAIR,DP2             ,2872
-8478230.39323495,5315722.05399936,Southside,    Accessory On,142 PARKWAY DR                                    ,2018/05/21 07:28:09+00,43.0246334030347,-76.1612394452961,STREET REPAIR,DP2             ,2873
-8478232.45264638,5315725.52578525,Southside,    Accessory On,146 PARKWAY DR                                    ,2018/05/21 07:28:41+00,43.0246562030382,-76.1612579453038,STREET REPAIR,DP2             ,2874
-8478242.24876411,5315713.48112919,Southside,    Accessory On,146 PARKWAY DR                                    ,2018/05/21 07:29:33+00,43.0245771030202,-76.1613459453266,STREET REPAIR,DP2             ,2875
-8478241.83688191,5315714.3643019,Southside,    Accessory On,146 PARKWAY DR                                    ,2018/05/21 07:30:01+00,43.0245829030214,-76.1613422453259,STREET REPAIR,DP2             ,2876
-8478235.82562706,5315706.79642853,Southside,    Accessory On,146 PARKWAY DR                                    ,2018/05/21 07:31:49+00,43.0245332030144,-76.1612882453047,STREET REPAIR,DP2             ,2877
-8478233.30980593,5315710.14639212,Southside,    Accessory On,146 PARKWAY DR                                    ,2018/05/21 07:32:44+00,43.0245552030193,-76.161265645299,STREET REPAIR,DP2             ,2878
-8478232.9201877,5315712.35432325,Southside,    Accessory On,146 PARKWAY DR                                    ,2018/05/21 07:32:55+00,43.0245697030221,-76.1612621452989,STREET REPAIR,DP2             ,2879
-8478235.87015515,5315712.12591641,Southside,    Accessory On,146 PARKWAY DR                                    ,2018/05/21 07:33:58+00,43.0245682030208,-76.1612886453074,STREET REPAIR,DP2             ,2880
-8478247.55870507,5315704.39054581,Southside,    Accessory On,148-50 PARKWAY DR                                 ,2018/05/21 07:35:12+00,43.0245174030074,-76.1613936453378,STREET REPAIR,DP2             ,2881
-8478282.74680717,5315697.73630363,Southside,    Accessory On,154-56 PARKWAY DR                                 ,2018/05/21 07:36:04+00,43.0244737029871,-76.1617097454372,STREET REPAIR,DP2             ,2882
-8478304.60996206,5315693.95998513,Southside,    Accessory On,162 PARKWAY DR                                    ,2018/05/21 07:37:06+00,43.024448902975,-76.1619061454991,STREET REPAIR,DP2             ,2883
-8478308.29463842,5315694.29498076,Southside,    Accessory On,162 PARKWAY DR                                    ,2018/05/21 07:37:32+00,43.0244511029741,-76.16193924551,STREET REPAIR,DP2             ,2884
-8478302.83998147,5315691.90432925,Southside,    Accessory On,162 PARKWAY DR                                    ,2018/05/21 07:38:14+00,43.0244354029731,-76.161890245493,STREET REPAIR,DP2             ,2885
-8478305.89013652,5315692.13273528,Southside,    Accessory On,162 PARKWAY DR                                    ,2018/05/21 07:38:29+00,43.0244369029723,-76.161917645502,STREET REPAIR,DP2             ,2886
-8478369.4535859,5315682.96603425,Southside,    Accessory On,176 PARKWAY DR                                    ,2018/05/21 07:40:00+00,43.0243767029391,-76.1624886456829,STREET REPAIR,DP2             ,2887
-8478378.16990476,5315681.16924029,Southside,    Accessory On,180-82 PARKWAY DR                                 ,2018/05/21 07:40:36+00,43.024364902934,-76.1625669457074,STREET REPAIR,DP2             ,2888
-8478399.78815706,5315684.51919341,Southside,    Accessory On,184-86 PARKWAY DR                                 ,2018/05/21 07:41:31+00,43.0243869029305,-76.162761145772,STREET REPAIR,DP2             ,2889
-8479254.25466665,5317300.22019724,Westside,    Accessory On,202 ELLIOTT ST                                    ,2018/05/21 07:50:58+00,43.0349967045836,-76.1704369490253,STREET REPAIR,DP2             ,2890
-8479260.21026145,5317302.35235516,Westside,    Accessory On,202 ELLIOTT ST                                    ,2018/05/21 07:52:03+00,43.0350107045841,-76.1704904490437,STREET REPAIR,DP2             ,2891
-8479229.74210714,5317306.11409428,Westside,    Accessory On,302-04 DUDLEY ST & ELLIOTT ST                     ,2018/05/21 07:52:46+00,43.0350354045993,-76.1702167489567,STREET REPAIR,DP2             ,2892
-8479211.69721189,5317307.21063439,Westside,    Accessory On,302-04 DUDLEY ST & ELLIOTT ST                     ,2018/05/21 07:53:25+00,43.0350426046069,-76.1700546489046,STREET REPAIR,DP2             ,2893
-8479212.71021988,5317313.01315616,Westside,    Accessory On,302-04 DUDLEY ST & ELLIOTT ST                     ,2018/05/21 07:54:09+00,43.0350807046135,-76.1700637489103,STREET REPAIR,DP2             ,2894
-8479209.8715722,5317317.8105196,Westside,    Accessory On,302-04 DUDLEY ST & ELLIOTT ST                     ,2018/05/21 07:55:58+00,43.0351122046203,-76.1700382489043,STREET REPAIR,DP2             ,2895
-8477079.88381567,5318672.95875412,Downtown,    Accessory On,501-23 SALINA ST S & HARRISON ST                  ,2018/05/21 09:41:00+00,43.0440096069967,-76.1509042433376,STREET REPAIR,DP2             ,2896
-8477083.32358458,5318587.90400348,Downtown,    Accessory On,599 SALINA ST S & ADAMS ST E                      ,2018/05/21 09:45:36+00,43.0434512068929,-76.1509351433074,STREET REPAIR,DP2             ,2897
-8477820.60423678,5324162.19630392,Northside,    Accessory On,1014 WOLF ST                                      ,2018/05/21 10:22:28+00,43.0800367133566,-76.1575582480929,STREET REPAIR,DP1             ,2898
-8477820.37046553,5324157.62403786,Northside,    Accessory On,1014 WOLF ST                                      ,2018/05/21 10:25:10+00,43.0800067133512,-76.1575561480901,STREET REPAIR,DP1             ,2899
-8477822.0736544,5324159.74252077,Northside,    Accessory On,1014 WOLF ST                                      ,2018/05/21 10:26:36+00,43.0800206133531,-76.1575714480961,STREET REPAIR,DP1             ,2900
-8477821.6840365,5324168.0488077,Northside,    Accessory On,1022 WOLF ST & SIXTH NORTH ST                     ,2018/05/21 10:28:37+00,43.0800751133633,-76.1575679480989,STREET REPAIR,DP1             ,2901
-8476218.0927025,5321265.10861739,Northside,    Accessory On,204 ALVORD ST S                                   ,2018/05/21 11:00:16+00,43.0610251104229,-76.1431626420508,STREET REPAIR,DP1             ,2902
-8476225.06130511,5321269.23761833,Northside,    Accessory On,206 ALVORD ST S                                   ,2018/05/21 11:00:48+00,43.0610522104255,-76.143225242073,STREET REPAIR,DP1             ,2903
-8476193.74712164,5321258.93797436,Northside,    Accessory On,301 SEWARD ST & ALVORD ST S                       ,2018/05/21 11:02:19+00,43.0609846104239,-76.1429439419769,STREET REPAIR,DP1             ,2904
-8476192.66732197,5321253.95575346,Northside,    Accessory On,301 SEWARD ST & ALVORD ST S                       ,2018/05/21 11:04:00+00,43.0609519104183,-76.1429342419714,STREET REPAIR,DP1             ,2905
-8476852.55829362,5320266.7056485,Northside,    Accessory On,305 HICKORY ST                                    ,2018/05/21 11:14:23+00,43.0544719089983,-76.1488621434282,STREET REPAIR,DP1             ,2906
-8476844.57668347,5320265.41071349,Northside,    Accessory On,300-12 HICKORY ST & STATE ST N &                  ,2018/05/21 11:18:40+00,43.0544634089995,-76.1487904434043,STREET REPAIR,DP1             ,2907
-8475862.45971218,5311794.15831465,Valley,    Accessory On,112 MUNSON DR                                     ,2018/05/23 05:05:36+00,42.9988325991118,-76.1399679365434,STREET REPAIR,DP2             ,2908
-8473845.4617157,5321532.82721428,Eastwood,    Accessory On,117 MOONEY AVE                                    ,2018/05/23 05:08:30+00,43.0627822115708,-76.1218489352605,STREET REPAIR,DP1             ,2909
-8473824.94552694,5321533.96996047,Eastwood,    Accessory On,123 MOONEY AVE                                    ,2018/05/23 05:10:51+00,43.0627897115793,-76.1216646352012,STREET REPAIR,DP1             ,2910
